FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa8,18007,Alte Schanzen,1,23,1973-01-05,10009731,7355,Flurname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fa9,10541,Rohrdurchlaß Pointengassenbach,1,17,1989-06-02,10007818,10071,lokaler (interner) Straßenname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5faa,10579,Haidgrabenbrücke,1,19,1989-06-06,10007856,2068,Brücke
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fab,10580,Gewölbe im Zuge der Höhenstraße,1,19,1989-06-06,10007857,10071,lokaler (interner) Straßenname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fac,10582,Schwabenwiesenunterführung,1,19,1989-06-06,10007859,10071,lokaler (interner) Straßenname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fad,10584,Durchlaß 1938,1,19,1989-06-06,10007861,10071,lokaler (interner) Straßenname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fae,10588,Durchlaß 1942,1,19,1989-06-06,10007865,10071,lokaler (interner) Straßenname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5faf,10829,Brigittenauer Brücke Rampe 200,1,20,1995-09-25,10008106,2068,Brücke
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb0,18084,Großer Biberhaufen,1,22,1973-01-05,10009805,7355,Flurname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb1,14302,Julius-Deutsch-Hof,1,19,1989-11-09,10008982,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb2,14304,Wilhelm-Svetelsky-Hof,1,11,1990-01-18,10008984,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb3,14305,Josef-Pfeifer-Hof,1,3,1990-05-10,10008985,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb4,18364,Gaswerk Leopoldau,1,21,1975-10-17,10010068,10001,Objektname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb5,00651,Bundesweg,1,12,2000-09-08,10000627,2058,Weg in Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb6,00880,Dr.-Schreber-Weg,1,12,1973-01-05,10000848,2058,Weg in Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb7,00881,Dr.-Schreber-Weg,1,19,1973-01-05,10000849,2058,Weg in Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb8,15014,Eberschüttwasser,1,22,1973-01-05,10009020,62,"Stehendes Gewässer (See, Teich)"
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fb9,18291,SDL Augustinerwald,1,14,1973-01-05,10009999,20071,Gartensiedlung und Siedlung
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fba,18293,Simmeringer Haide,1,11,1973-01-05,10010001,7355,Flurname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fbb,18295,Sophienalpe,1,14,1973-01-05,10010003,10060,Berg
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fbc,18299,Breitenlee,1,22,1973-01-05,10010006,7355,Flurname
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fbd,04201,Schartlgasse,1,23,1966-02-23,10004112,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fbe,16557,KLG Gerspergasse,1,21,1990-02-22,10009648,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fbf,20113,Parkanlage Guldengasse,1,14,2013-08-27,10010323,7252,Park
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fc0,20114,Bock-Park,1,3,2008-10-07,10010324,7252,Park
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fc1,20116,Vogelweidpark,1,15,1979-10-18,10010326,7252,Park
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fc2,20117,Karl-Farkas-Park,1,7,1979-10-18,10010327,7252,Park
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fc3,20119,Emil-Maurer-Park,1,7,2015-02-23,10010329,7252,Park
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fc4,20120,Richard-Eybner-Park,1,19,1990-10-11,10010330,7252,Park
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fc5,20122,Parkanlage Mittelzone,2,5|12,2013-07-04,10010332,7252,Park
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fc6,90717,Lokalbahn Wien-Baden,5,1|4|5|12|23,1755-01-01,10387745,52020,Schnellbahn
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5fc7,10285,Belghofersteg,1,12,1976-03-25,10007565,2068,Brücke
